step,linear_x,angular_z
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,0.0,0.0
108,0.0,0.0
109,0.0,0.0
110,0.0,0.0
111,0.0,0.0
112,0.0,0.0
113,0.0,0.0
114,0.0,0.0
115,0.0,0.0
116,0.0,0.0
117,0.0,0.0
118,0.0,0.0
119,0.0,0.0
120,0.0,0.0
121,0.0,0.0
122,0.0,0.0
123,0.0,0.0
124,0.0,0.0
125,0.0,0.0
126,0.0,0.0
127,0.0,0.0
128,0.0,0.0
129,0.0,0.0
130,0.0,0.0
131,0.0,0.0
132,0.0,0.0
133,0.0,0.0
134,0.0,0.0
135,0.0,0.0
136,0.0,0.0
137,0.0,0.0
138,0.0,0.0
139,0.0,0.0
140,0.0,0.0
141,0.0,0.0
142,0.0,0.0
143,0.0,0.0
144,0.0,0.0
145,0.0,0.0
146,0.0,0.0
147,0.0,0.0
148,0.0,0.0
149,0.0,0.0
150,0.0,0.0
151,0.0,0.0
152,0.0,0.0
153,0.0,0.0
154,0.0,0.0
155,0.0,0.0
156,0.0,0.0
157,0.0,0.0
158,0.0,0.0
159,0.0,0.0
160,0.0,0.0
161,0.0,0.0
162,0.0,0.0
163,0.0,0.0
164,0.0,0.0
165,0.0,0.0
166,0.0,0.0
167,0.0,0.0
168,0.0,0.0
169,0.0,0.0
170,0.0,0.0
171,0.0,0.0
172,0.0,0.0
173,0.0,0.0
174,0.0,0.0
175,0.0,0.0
176,0.0,0.0
177,0.0,0.0
178,0.0,0.0
179,0.0,0.0
180,0.0,0.0
181,0.0,0.0
182,0.0,0.0
183,0.0,0.0
184,0.0,0.0
185,0.0,0.0
186,0.0,0.0
187,0.01,0.0
188,0.01,0.0
189,0.02,0.0
190,0.03,0.0
191,0.03,0.0
192,0.04,0.0
193,0.04,0.0
194,0.05,0.0
195,0.060000000000000005,0.0
196,0.07,0.0
197,0.08,0.0
198,0.09,0.0
199,0.09999999999999999,0.0
200,0.09999999999999999,0.0
201,0.10999999999999999,0.0
202,0.11999999999999998,0.0
203,0.12999999999999998,0.0
204,0.13999999999999999,0.0
205,0.15,0.0
206,0.16,0.0
207,0.17,0.0
208,0.18000000000000002,0.0
209,0.19000000000000003,0.0
210,0.20000000000000004,0.0
211,0.21000000000000005,0.0
212,0.21000000000000005,0.0
213,0.22000000000000006,0.0
214,0.23000000000000007,0.0
215,0.23000000000000007,0.0
216,0.23000000000000007,0.0
217,0.24000000000000007,0.0
218,0.25000000000000006,0.0
219,0.26000000000000006,0.0
220,0.2700000000000001,0.0
221,0.2800000000000001,0.0
222,0.2900000000000001,0.0
223,0.3000000000000001,0.0
224,0.3100000000000001,0.0
225,0.3200000000000001,0.0
226,0.3300000000000001,0.0
227,0.34000000000000014,0.0
228,0.34000000000000014,0.0
229,0.35000000000000014,0.0
230,0.35000000000000014,0.0
231,0.36000000000000015,0.0
232,0.37000000000000016,0.0
233,0.38000000000000017,0.0
234,0.3900000000000002,0.0
235,0.3900000000000002,0.0
236,0.4000000000000002,0.0
237,0.4100000000000002,0.0
238,0.4200000000000002,0.0
239,0.4300000000000002,0.0
240,0.4400000000000002,0.0
241,0.45000000000000023,0.0
242,0.46000000000000024,0.0
243,0.47000000000000025,0.0
244,0.48000000000000026,0.0
245,0.49000000000000027,0.0
246,0.5000000000000002,0.0
247,0.5100000000000002,0.0
248,0.5200000000000002,0.0
249,0.5300000000000002,0.0
250,0.5400000000000003,0.0
251,0.5500000000000003,0.0
252,0.5600000000000003,0.0
253,0.5700000000000003,0.0
254,0.5800000000000003,0.0
255,0.5900000000000003,0.0
256,0.6000000000000003,0.0
257,0.6100000000000003,0.0
258,0.6100000000000003,0.0
259,0.6200000000000003,0.0
260,0.6300000000000003,0.0
261,0.6300000000000003,0.0
262,0.6400000000000003,0.0
263,0.6400000000000003,0.0
264,0.6500000000000004,0.0
265,0.6600000000000004,0.0
266,0.6700000000000004,0.0
267,0.6800000000000004,0.0
268,0.6900000000000004,0.0
269,0.7000000000000004,0.0
270,0.7100000000000004,0.0
271,0.7200000000000004,0.0
272,0.7300000000000004,0.0
273,0.7400000000000004,0.0
274,0.7500000000000004,0.0
275,0.7500000000000004,0.0
276,0.7600000000000005,0.0
277,0.7700000000000005,0.0
278,0.7800000000000005,0.0
279,0.7900000000000005,0.0
280,0.7900000000000005,0.0
281,0.8000000000000005,0.0
282,0.8000000000000005,0.0
283,0.8100000000000005,0.0
284,0.8200000000000005,0.0
285,0.8300000000000005,0.0
286,0.8400000000000005,0.0
287,0.8500000000000005,0.0
288,0.8600000000000005,0.0
289,0.8600000000000005,0.0
290,0.8700000000000006,0.0
291,0.8800000000000006,0.0
292,0.8900000000000006,0.0
293,0.9000000000000006,0.0
294,0.9000000000000006,0.0
295,0.9100000000000006,0.0
296,0.9200000000000006,0.0
297,0.9200000000000006,0.0
298,0.9300000000000006,0.0
299,0.9400000000000006,0.0
300,0.9500000000000006,0.0
301,0.9500000000000006,0.0
302,0.9600000000000006,0.0
303,0.9700000000000006,0.0
304,0.9700000000000006,0.0
305,0.9800000000000006,0.0
306,0.9900000000000007,0.0
307,1.0000000000000007,0.0
308,1.0000000000000007,0.0
309,1.0000000000000007,0.0
310,1.0000000000000007,0.0
311,1.0000000000000007,0.0
312,1.0000000000000007,0.0
313,1.0000000000000007,0.0
314,1.0000000000000007,0.0
315,1.0000000000000007,0.0
316,1.0000000000000007,-0.09
317,1.0000000000000007,0.0
318,1.0000000000000007,0.0
319,1.0000000000000007,-0.1
320,1.0000000000000007,-0.2
321,1.0000000000000007,-0.21667636286662106
322,1.0000000000000007,-0.2105274916134602
323,1.0000000000000007,-0.20585439929982716
324,1.0000000000000007,-0.209874790843578
325,1.0000000000000007,-0.2137295797878722
326,1.0000000000000007,-0.30372957978787213
327,1.0000000000000007,-0.30372957978787213
328,1.0000000000000007,-0.39372957978787215
329,1.0000000000000007,-0.49372957978787213
330,1.0000000000000007,-0.5937295797878721
331,1.0000000000000007,-0.5737295797878722
332,1.0000000000000007,-0.5737295797878722
333,1.0000000000000007,-0.4837295797878722
334,1.0000000000000007,-0.38372957978787214
335,1.0000000000000007,-0.28372957978787217
336,1.0000000000000007,-0.25799752893389327
337,1.0000000000000007,-0.16799752893389328
338,1.0000000000000007,-0.25799752893389327
339,1.0000000000000007,-0.35799752893389325
340,1.0000000000000007,-0.3479975289338933
341,1.0000000000000007,-0.25799752893389327
