step,linear_x,angular_z,total_force
0,0.0,0.0,0.4541285057969446
1,0.0,0.0,0.4541285057969446
2,0.0,0.0,0.6685128398631746
3,0.0,0.0,0.6685128398631746
4,0.0,0.0,0.4602071446239241
5,0.0,0.0,0.9143864799133041
6,0.0,0.0,0.9143864799133041
7,0.0,0.0,0.48375868837565217
8,0.0,0.0,0.40474485956856554
9,0.0,0.0,0.40474485956856554
10,0.0,0.0,0.39254283025658154
11,0.0,0.0,0.38595736813640386
12,0.0,0.0,0.38595736813640386
13,0.0,0.0,0.40017602703635313
14,0.01,0.0,0.34774775189099366
15,0.01,0.0,0.34774775189099366
16,0.015,0.0,0.538477009242274
17,0.02,0.0,0.538477009242274
18,0.025,0.0,0.4967613282039225
19,0.030000000000000002,0.0,0.4566634063709411
20,0.035,0.0,0.4566634063709411
21,0.04,0.0,0.4878739882973889
22,0.045,0.0,0.5819472151711349
23,0.049999999999999996,0.0,0.5819472151711349
24,0.05499999999999999,0.0,0.389968665316438
25,0.05499999999999999,0.0,0.4863061367274056
26,0.05999999999999999,0.0,0.4863061367274056
27,0.06499999999999999,0.0,0.4714567020135849
28,0.06999999999999999,0.0,0.4942047477246756
29,0.075,0.0,0.4942047477246756
30,0.08,0.0,0.4654929953748264
31,0.085,0.0,0.4654929953748264
32,0.09000000000000001,0.0,0.5031533171069327
33,0.09500000000000001,0.0,0.4776699727952699
34,0.10000000000000002,0.0,0.4776699727952699
35,0.10500000000000002,0.0,0.4658917456902665
36,0.11000000000000003,0.0,0.4996057331236028
37,0.11000000000000003,0.0,0.4996057331236028
38,0.12000000000000002,0.0,0.4453695685950006
39,0.12000000000000004,0.0,0.4766473997993697
40,0.12500000000000003,0.0,0.4766473997993697
41,0.13500000000000004,0.0,0.549605105011573
42,0.13500000000000004,0.0,0.4259831935036792
43,0.14000000000000004,0.0,0.4259831935036792
44,0.14500000000000005,0.0,0.506230798260902
45,0.15000000000000005,0.0,0.506230798260902
46,0.15500000000000005,0.0,0.4842019115827705
47,0.16000000000000006,0.0,0.5794181220750214
48,0.16500000000000006,0.0,0.5794181220750214
49,0.17000000000000007,0.0,0.5211032447293842
50,0.17500000000000007,0.0,0.520354920270006
51,0.18000000000000008,0.0,0.520354920270006
52,0.18000000000000008,0.0,0.4924696626939146
53,0.18500000000000008,0.0,0.44278231024564196
54,0.1950000000000001,0.0,0.44278231024564196
55,0.2000000000000001,0.0,0.48119498324814797
56,0.2000000000000001,0.0,0.4999951097174805
57,0.2050000000000001,0.0,0.4999951097174805
58,0.2100000000000001,0.0,0.46831468291765627
59,0.2150000000000001,0.0,0.5067102851192037
60,0.2200000000000001,0.0,0.5067102851192037
61,0.22500000000000012,0.0,0.495814163478805
62,0.22500000000000012,0.0,0.495814163478805
63,0.23000000000000012,0.0,1.1956657494067273
64,0.23500000000000013,0.0,0.5819824080271249
65,0.24000000000000013,0.0,0.5819824080271249
66,0.24500000000000013,0.0,0.5860782165188223
67,0.2500000000000001,0.0,0.665890217466988
68,0.2550000000000001,0.0,0.665890217466988
69,0.2550000000000001,0.0,0.6482035699481302
70,0.2600000000000001,0.0,0.6461359664263345
71,0.2650000000000001,0.0,0.6461359664263345
72,0.27000000000000013,0.0,0.6242808992429909
73,0.27500000000000013,0.0,0.6348973624630228
74,0.28000000000000014,0.0,0.6348973624630228
75,0.28000000000000014,0.0,0.6048843723366985
76,0.29000000000000015,0.0,0.6048843723366985
77,0.29000000000000015,0.0,0.5766022414621168
78,0.29500000000000015,0.0,0.7897253449833505
79,0.30000000000000016,0.0,0.7897253449833505
80,0.30500000000000016,0.0,0.636214006983867
81,0.31000000000000016,0.0,0.8109515520885432
82,0.31500000000000017,0.0,0.8109515520885432
83,0.3200000000000002,0.0,0.7773072808008514
84,0.3250000000000002,0.0,0.7285987594256953
85,0.3300000000000002,0.0,0.7285987594256953
86,0.3350000000000002,0.0,0.7308714354095777
