step,total_force,total_force_y
0,-1.2286643576640065e-07,-1.0735690121796886
1,1.0992579489548932e-06,-1.1615668733638147
2,1.225700750978337e-06,-3.8742880755319473
3,1.2273365832887714e-06,1.9161881803662524
4,1.2275281738199507e-06,4.116250100340002
5,1.0695056723484983e-06,-1.1305957817462768
6,1.2255194029370775e-06,1.7302485372762653
7,1.2285020923296783e-06,2.210731783050636
8,1.228640460672052e-06,3.708529048960526
9,1.225826805259802e-06,3.923045893477382
10,1.0755616410907774e-06,-1.1307604338942614
11,1.2243461290590007e-06,1.5468778993938552
12,1.2286321393462234e-06,4.174621616909297
13,9.916841820716096e-07,-1.1191059276672402
14,1.2217663253400607e-06,-3.5068713587446587
15,1.2277879449184815e-06,1.547827881148766
16,1.014989788894431e-06,-1.2098368140991853
17,1.224842600345345e-06,-3.7777545102292573
18,1.2273996326206859e-06,1.502460838225879
19,1.213968678414189e-06,1.1605807807846547
20,1.031886503758618e-06,-1.1358970190335673
21,1.2286611918530561e-06,-4.198906365513494
22,1.2206759004274779e-06,-3.666856764793787
23,1.2272304175604686e-06,4.120085418170875
24,1.21887092850271e-06,4.182672944358844
25,1.105656534427456e-06,-1.2525923932965262
26,1.22865591654521e-06,4.565806991390393
27,1.0867127375721386e-06,-1.0732105078560827
28,1.2277057908889066e-06,-3.9335510381368466
29,1.2285058369121102e-06,3.5554007871115285
30,1.223048275636833e-06,3.8421062297228508
31,1.1576827333659111e-06,-1.469438736058516
32,1.2280879040346639e-06,0.9178886507100993
33,-1.443008603262533e-07,-1.3658808157514322
34,-7.411683286975285e-10,0.8537577654558166
35,-1.6745204087827702e-11,4.370179063612659
36,-2.6899218325218215e-07,-0.9484158306463351
37,-1.1494733094125593e-10,4.197281599880198
38,-2.1536239496183169e-07,-0.23474661631791366
39,-9.065874633637088e-09,-3.6430171207580906
40,-9.664636068138596e-07,-1.0594445640477026
41,5.346294751384792e-08,-3.379845612489499
42,9.093230762926427e-08,1.5247479607062975
43,9.196509601138974e-08,3.928690774904745
44,9.104068918010091e-08,4.01569181938797
45,-2.1209212010960993e-06,-1.1205487231072395
